# Group: MemGrp	
# Op	Range	Mn	FlagsR	FlagsW	RegsR	RegsW	Descriptoin
CTRL:	NONE
0x4c	0x00	XAY.B	None	M,V	A	Y	Transfer (A -> Y) (Byte)
0x4d	0x00	XAB.B	None	M,V	A	B	Transfer (A -> B) (Byte)
0x4e	0x00	XAZ.B	None	M,V	A	Z	Transfer (A -> Z) (Byte)
0x4f	0x00	XAS.B	None	M,V	A	S	Transfer (A -> S) (Byte)


ALU2:	ALU2
0x50	0x00	ADD	None	F,L,M,V	sr,dr	dr	Add (dr+sr -> dr)
0x51	0x00	SUB	None	F,L,M,V	sr,dr	dr	Subtract (sr-dr -> dr)
0x52	0x00	AND	None	M,V	sr,dr	dr	And (dr&sr -> dr)
0x53	0x00	ORI	None	M,V	sr,dr	dr	Or (dr|sr -> dr)
0x54	0x00	ORE	None	M,V	sr,dr	dr	Or (dr^sr -> dr)
0x55	0x00	XFR	None	M,V	sr	dr	Transfer (sr -> dr)

ALUIA2:	NONE
0x58	0x00	AAB	None	F,L,M,V	A,B	B	Add (A+B -> B)
0x59	0x00	SAB	None	F,L,M,V	A,B	B	Subtract (A-B -> B)
0x5a	0x00	NAB	None	M,V	A,B	B	And (A&B -> B)
0x5b	0x00	XAX	None	M,V	A	X	Transfer (A -> X)
0x5c	0x00	XAY	None	M,V	A	Y	Transfer (A -> Y)
0x5d	0x00	XAB	None	M,V	A	B	Transfer (A -> B)
0x5e	0x00	XAZ	None	M,V	A	Z	Transfer (A -> Z)
0x5f	0x00	XAS	None	M,V	A	S	Transfer (A -> S)

LDX:	MEM
0x60	0x05	LDX	None	F,L,M,V	None	X	Load X Register Word

STX:	MEM
0x68	0x05	STX	None	F,L,M,V	X	None	Store X Register Word

JMP:	MEM
0x71	0x04	JMP	None	None	None	PC	Unconditional Jump

JSR:	MEM
0x79	0x04	JSR	None	None	X,PC,S	P,S,X,PC	Jump to Subroutine


LDAB:	MEMB
0x80	0x05	LDA.B	None	F,L,M,V	None	A	Load A Register (Byte)

LDAIB:	NONE
0x88	0x00	LDAA.B	None	F,L,M,V	A	A	Load A Register from address in A Register (Byte)
0x89	0x00	LDAB.B	None	F,L,M,V	B	A	Load A Register from address in B Register (Byte)
0x8a	0x00	LDAX.B	None	F,L,M,V	X	A	Load A Register from address in X Register (Byte)
0x8b	0x00	LDAY.B	None	F,L,M,V	Y	A	Load A Register from address in Y Register (Byte)
0x8c	0x00	LDAZ.B	None	F,L,M,V	Z	A	Load A Register from address in Z Register (Byte)
0x8d	0x00	LDAS.B	None	F,L,M,V	S	A	Load A Register from address in S Register (Byte)
0x8e	0x00	LDAC.B	None	F,L,M,V	C	A	Load A Register from address in C Register (Byte)
0x8f	0x00	LDAP.B	None	F,L,M,V	P	A	Load A Register from address in P Register (Byte)

LDA:	MEM
0x90	0x05	LDA	None	F,L,M,V	None	A	Load A Register

LDAI:	NONE
0x98	0x00	LDAA	None	F,L,M,V	A	A	Load A Register from address in A Register
0x99	0x00	LDAB	None	F,L,M,V	B	A	Load A Register from address in B Register
0x9a	0x00	LDAX	None	F,L,M,V	X	A	Load A Register from address in X Register
0x9b	0x00	LDAY	None	F,L,M,V	Y	A	Load A Register from address in Y Register
0x9c	0x00	LDAZ	None	F,L,M,V	Z	A	Load A Register from address in Z Register
0x9d	0x00	LDAS	None	F,L,M,V	S	A	Load A Register from address in S Register
0x9e	0x00	LDAC	None	F,L,M,V	C	A	Load A Register from address in C Register
0x9f	0x00	LDAP	None	F,L,M,V	P	A	Load A Register from address in P Register


STAB:	MEMB
0xa0	0x05	STA.B	None	F,L,M,V	A	None	Store A Register (Byte)

STAIB:	NONE
0xa8	0x00	STAA.B	None	F,L,M,V	A	None	Store Value in A Register to address in A Register (Byte)
0xa9	0x00	STAB.B	None	F,L,M,V	A,B	None	Store Value in A Register to address in B Register (Byte)
0xaa	0x00	STAX.B	None	F,L,M,V	A,X	None	Store Value in A Register to address in X Register (Byte)
0xab	0x00	STAY.B	None	F,L,M,V	A,Y	None	Store Value in A Register to address in Y Register (Byte)
